velocity_band,depth_repertoire_band,trust_classification,agent_delegation_classification,skill_read_presence_classification,readout_zone_test_result,value_hypothesis_test_result,window_count,windows_present,row_count,surface_eligible_row_count,suppressed_row_count,redacted_metric_row_count,min_cohort_size,max_cohort_size,total_cohort_rows,total_signal_count,total_attributed_signal_count,avg_attributed_signal_share,total_agent_delegation_user_rows,total_skill_read_user_rows,readiness_decisions
LOW_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,FOCUSED_EXPERT_USE,NET_NEW_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_BUSINESS_CONTEXT,3,window_1|window_2|window_3,3,3,0,0,81,283,572,935,861,0.925386,0,0,PROMOTE_FOR_FOCUSED_USE_REVIEW
LOW_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,FOCUSED_EXPERT_USE,NET_NEW_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_BUSINESS_CONTEXT,3,window_1|window_2|window_3,3,3,0,0,39,162,282,412,376,0.934526,282,0,PROMOTE_FOR_FOCUSED_USE_REVIEW
LOW_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,FOCUSED_EXPERT_USE,NET_NEW_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_BUSINESS_CONTEXT,3,window_1|window_2|window_3,3,3,0,0,19,232,350,571,471,0.86115,350,0,PROMOTE_FOR_FOCUSED_USE_REVIEW
HIGH_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,6982,10814,27117,109744,64348,0.582972,0,0,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
HIGH_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,1362,7565,13691,73719,34365,0.5405,0,13691,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
HIGH_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,1936,2716,6808,31684,19782,0.627315,6808,0,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
HIGH_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,352,2141,3747,19790,9620,0.552724,3747,3747,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
HIGH_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,7162,13146,32959,212008,103572,0.47948,32959,0,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
HIGH_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,2005,11452,20041,182633,66701,0.365601,20041,20041,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
MEDIUM_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,2353,3416,8682,19976,15695,0.786466,0,0,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
MEDIUM_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,85,1099,1531,4209,3189,0.799289,0,1531,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
MEDIUM_VELOCITY,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,SCALE_CANDIDATE,ACCELERATION_OR_QUALITY_PREMIUM_CANDIDATE_REQUIRES_OUTCOME_EVIDENCE,3,window_1|window_2|window_3,3,3,0,0,554,1019,2547,6371,4987,0.783521,2547,0,PROMOTE_FOR_SCALE_CANDIDATE_STABILITY_REVIEW
