signal,expected_parent_surface,classification,signal_count,attributed_signal_count,attribution_rate,readout_decision
AI_ANSWER_VOTE,workflow:AI_ANSWER,INSUFFICIENT_TRUST_EVIDENCE,0,0,,hold
AI_ANSWER_VOTE,workflow:AI_ANSWER,TRUST_SIGNAL_WITH_ALIASING,11280,0,0.0,hold
AI_SUMMARY_VOTE,standalone:AI_SUMMARY,ATTRIBUTABLE_TRUST_SIGNAL,86,86,1.0,narrow_review
AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_SIGNAL_AVAILABLE_BUT_HELD,1128,0,0.0,hold
CHAT_CITATIONS,workflow:CHAT,ATTRIBUTABLE_TRUST_SIGNAL,2243,2243,1.0,narrow_review
CHAT_CITATIONS,workflow:CHAT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,996911,0,0.0,hold
CHAT_CITATIONS,workflow:CHAT,TRUST_SIGNAL_WITH_ALIASING,12479,0,0.0,hold
CHAT_CITATION_CLICK,workflow:CHAT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,55162,0,0.0,hold
CHAT_CITATION_CLICK,workflow:CHAT,TRUST_SIGNAL_WITH_ALIASING,1531784,0,0.0,hold
CHAT_FEEDBACK,workflow:CHAT,ATTRIBUTABLE_TRUST_SIGNAL,375674,375674,1.0,candidate
CHAT_FEEDBACK,workflow:CHAT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,206826,0,0.0,hold
CHAT_FEEDBACK,workflow:CHAT,TRUST_SIGNAL_WITH_ALIASING,286531,0,0.0,hold
SEARCH_FEEDBACK,standalone:SEARCH,ATTRIBUTABLE_TRUST_SIGNAL,2663,2663,1.0,candidate
SEARCH_FEEDBACK,standalone:SEARCH,TRUST_SIGNAL_AVAILABLE_BUT_HELD,11786,0,0.0,hold
