output_section,window_id,primary_dimension,secondary_dimension,tertiary_dimension,aggregate_count,metric_1,metric_2,metric_3,metric_4,metric_5,metric_note
FRAMEWORK_BAND_SUMMARY,window_1,HIGH_VELOCITY,INTEGRATED_REPERTOIRE|STRUCTURAL_VERIFICATION_EVIDENCE,SCALE_CANDIDATE|HIGH_RELIABILITY_CONTEXT|QUALITY_SUPPORTIVE_CONTEXT,5,102.11,21.8,8.8,0.825,1.355,Small cells below the aggregate floor are suppressed; metrics retain framework context only.
FRAMEWORK_BAND_SUMMARY,window_1,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,0,,,,,,Small cells below the aggregate floor are suppressed; metrics retain framework context only.
FRAMEWORK_BAND_SUMMARY,window_2,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,0,,,,,,Small cells below the aggregate floor are suppressed; metrics retain framework context only.
FRAMEWORK_BAND_SUMMARY,window_3,HIGH_VELOCITY,INTEGRATED_REPERTOIRE|STRUCTURAL_VERIFICATION_EVIDENCE,SCALE_CANDIDATE|HIGH_RELIABILITY_CONTEXT|QUALITY_SUPPORTIVE_CONTEXT,6,78.6049,24.0,8.6667,0.75,1.25,Small cells below the aggregate floor are suppressed; metrics retain framework context only.
FRAMEWORK_BAND_SUMMARY,window_3,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,0,,,,,,Small cells below the aggregate floor are suppressed; metrics retain framework context only.
FRAMEWORK_MICROCOSM_SUMMARY,window_1,sampled_internal_windows,all_frameworks,aggregate_only,13,71.2456,17.1538,5.1538,0.7115,1.2192,metric_1=avg_frequency; metric_2=avg_engagement; metric_3=avg_breadth; metric_4=avg_reliability; metric_5=avg_quality_multiplier
FRAMEWORK_MICROCOSM_SUMMARY,window_2,sampled_internal_windows,all_frameworks,aggregate_only,14,63.571,16.5714,4.8571,0.6429,1.1179,metric_1=avg_frequency; metric_2=avg_engagement; metric_3=avg_breadth; metric_4=avg_reliability; metric_5=avg_quality_multiplier
FRAMEWORK_MICROCOSM_SUMMARY,window_3,sampled_internal_windows,all_frameworks,aggregate_only,14,75.4426,19.0,5.4286,0.6875,1.1804,metric_1=avg_frequency; metric_2=avg_engagement; metric_3=avg_breadth; metric_4=avg_reliability; metric_5=avg_quality_multiplier
JOURNEY_MOTIF_SUMMARY,window_1,SMALL_CELL_SUPPRESSED,journey_motif,aggregate_path_shape,0,,,,,,Journey motifs are aggregate path shapes; no row-level sequence is emitted.
JOURNEY_MOTIF_SUMMARY,window_2,OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT > OTHER_AI_EVENT,journey_motif,aggregate_path_shape,5,,,,0.725,1.225,Journey motifs are aggregate path shapes; no row-level sequence is emitted.
JOURNEY_MOTIF_SUMMARY,window_2,SMALL_CELL_SUPPRESSED,journey_motif,aggregate_path_shape,0,,,,,,Journey motifs are aggregate path shapes; no row-level sequence is emitted.
JOURNEY_MOTIF_SUMMARY,window_3,SMALL_CELL_SUPPRESSED,journey_motif,aggregate_path_shape,0,,,,,,Journey motifs are aggregate path shapes; no row-level sequence is emitted.
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,iteration_or_refinement,HEAVY_RETRY_OR_REFINEMENT_LOOP,confidence_tier,11,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,recovery_or_post_friction_continuation,NO_FRICTION_OBSERVED,confidence_tier,10,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,trust_interpretability,STRUCTURAL_VERIFICATION_EVIDENCE,confidence_tier,7,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,abandonment_or_continuation,NO_OBSERVED_TERMINAL_EVIDENCE,confidence_tier,6,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
PRIMITIVE_CONFIDENCE_SUMMARY,window_1,abandonment_or_continuation,NOT_ABANDONMENT_EVIDENCED,confidence_tier,6,,,,,,"Primitive confidence tiers classify evidence strength, not intent."
