verification_event_type,expected_parent_surface,attribution_status,signal_count,attributed_signal_count,attribution_rate,max_distinct_signal_users
AI_ANSWER_VOTE,workflow:AI_ANSWER,SMALL_CELL_SUPPRESSED,0,0,,0
AI_ANSWER_VOTE,workflow:AI_ANSWER,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,11280,0,0.0,3261
AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_AMBIGUOUS,275,0,0.0,41
AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_NO_PARENT,853,0,0.0,113
AI_SUMMARY_VOTE,standalone:AI_SUMMARY,TRUST_ATTRIBUTION_STRICT,86,86,1.0,33
CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,12479,0,0.0,270
CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,996911,0,0.0,38309
CHAT_CITATIONS,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,2243,2243,1.0,323
CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,1531784,0,0.0,261188
CHAT_CITATION_CLICK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,55162,0,0.0,31131
CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_AMBIGUOUS,7831,0,0.0,2699
CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_CROSS_SURFACE_ALIAS,286531,0,0.0,51398
CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_NO_PARENT,198995,0,0.0,35420
CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_SESSION,538,538,1.0,206
CHAT_FEEDBACK,workflow:CHAT,TRUST_ATTRIBUTION_STRICT,375136,375136,1.0,59897
SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_AMBIGUOUS,64,0,0.0,12
SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_NO_PARENT,11722,0,0.0,1808
SEARCH_FEEDBACK,standalone:SEARCH,TRUST_ATTRIBUTION_STRICT,2663,2663,1.0,578
